,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,12/1/2008,Albury,13.4,22.9,0.6,,,W,44,W,WNW,20,24,71,22,1007.7,1007.1,8,,16.9,21.8,No,0,No
1,12/2/2008,Albury,7.4,25.1,0,,,WNW,44,NNW,WSW,4,22,44,25,1010.6,1007.8,,,17.2,24.3,No,0,No
2,12/3/2008,Albury,12.9,25.7,0,,,WSW,46,W,WSW,19,26,38,30,1007.6,1008.7,,2,21,23.2,No,0,No
3,12/4/2008,Albury,9.2,28,0,,,NE,24,SE,E,11,9,45,16,1017.6,1012.8,,,18.1,26.5,No,1,No
4,12/5/2008,Albury,17.5,32.3,1,,,W,41,ENE,NW,7,20,82,33,1010.8,1006,7,8,17.8,29.7,No,0.2,No
5,12/6/2008,Albury,14.6,29.7,0.2,,,WNW,56,W,W,19,24,55,23,1009.2,1005.4,,,20.6,28.9,No,0,No
6,12/7/2008,Albury,14.3,25,0,,,W,50,SW,W,20,24,49,19,1009.6,1008.2,1,,18.1,24.6,No,0,No
7,12/8/2008,Albury,7.7,26.7,0,,,W,35,SSE,W,6,17,48,19,1013.4,1010.1,,,16.3,25.5,No,0,No
8,12/9/2008,Albury,9.7,31.9,0,,,NNW,80,SE,NW,7,28,42,9,1008.9,1003.6,,,18.3,30.2,No,1.4,Yes
9,12/10/2008,Albury,13.1,30.1,1.4,,,W,28,S,SSE,15,11,58,27,1007,1005.7,,,20.1,28.2,Yes,0,No
10,12/11/2008,Albury,13.4,30.4,0,,,N,30,SSE,ESE,17,6,48,22,1011.8,1008.7,,,20.4,28.8,No,2.2,Yes
11,12/12/2008,Albury,15.9,21.7,2.2,,,NNE,31,NE,ENE,15,13,89,91,1010.5,1004.2,8,8,15.9,17,Yes,15.6,Yes
12,12/13/2008,Albury,15.9,18.6,15.6,,,W,61,NNW,NNW,28,28,76,93,994.3,993,8,8,17.4,15.8,Yes,3.6,Yes
13,12/14/2008,Albury,12.6,21,3.6,,,SW,44,W,SSW,24,20,65,43,1001.2,1001.8,,7,15.8,19.8,Yes,0,No
14,12/16/2008,Albury,9.8,27.7,,,,WNW,50,,WNW,,22,50,28,1013.4,1010.3,0,,17.3,26.2,,0,No
15,12/17/2008,Albury,14.1,20.9,0,,,ENE,22,SSW,E,11,9,69,82,1012.2,1010.4,8,1,17.2,18.1,No,16.8,Yes
16,12/18/2008,Albury,13.5,22.9,16.8,,,W,63,N,WNW,6,20,80,65,1005.8,1002.2,8,1,18,21.5,Yes,10.6,Yes
17,12/19/2008,Albury,11.2,22.5,10.6,,,SSE,43,WSW,SW,24,17,47,32,1009.4,1009.7,,2,15.5,21,Yes,0,No
18,12/20/2008,Albury,9.8,25.6,0,,,SSE,26,SE,NNW,17,6,45,26,1019.2,1017.1,,,15.8,23.2,No,0,No
19,12/21/2008,Albury,11.5,29.3,0,,,S,24,SE,SE,9,9,56,28,1019.3,1014.8,,,19.1,27.3,No,0,No
20,12/22/2008,Albury,17.1,33,0,,,NE,43,NE,N,17,22,38,28,1013.6,1008.1,,1,24.5,31.6,No,0,No
21,12/23/2008,Albury,20.5,31.8,0,,,WNW,41,W,W,19,20,54,24,1007.8,1005.7,,,23.8,30.8,No,0,No
